segment,source_frame,source_seconds,root_yaw,torso_roll,torso_pitch,left_shoulder_yaw,left_shoulder_roll,left_shoulder_pitch,left_elbow,left_wrist_yaw,left_wrist_pitch,right_shoulder_yaw,right_shoulder_roll,right_shoulder_pitch,right_elbow,right_wrist_yaw,right_wrist_pitch,left_hip_yaw,left_hip_roll,left_hip_pitch,left_knee,left_ankle_pitch,left_ankle_roll,right_hip_yaw,right_hip_roll,right_hip_pitch,right_knee,right_ankle_pitch,right_ankle_roll
1,5,0.08886759667156142,0.8151582744078989,0.2100423797645291,-9.248985454910702,-81.72659249046212,-86.14560778476465,81.24200553104129,107.09704372981157,32.49365429116658,52.69797559616176,-94.20779700059639,-75.98253607712188,80.67472608150379,102.1677940437926,45.621288338217994,55.0,55.0,0.8676266440160864,29.316403431089725,99.14923617037353,35.0,0.4271702700637176,54.917254135880746,2.7464699150371668,28.580199464215834,98.04100799018836,35.0,5.5373196677446765
1,6,0.10664111600587371,0.7154654312525865,0.21712555822289095,-9.906485251223819,-81.86832336252596,-86.12779512922796,81.54398162182336,106.53533089472333,31.920178287823234,52.378533927607954,-94.14623885440606,-75.95302671999063,80.59107337692491,102.27217111338908,45.651647080684754,55.0,55.0,0.8434283526531343,29.864266266467098,99.61577788876136,35.0,0.5976170022315647,54.92907497361207,2.780563716456412,29.242733578607595,98.59834907456501,35.0,5.640697165632779
1,7,0.124414635340186,0.610143445209053,0.21336107377809385,-10.52455362184695,-81.93610408085895,-86.11932795893235,81.70135033538142,106.2329356267687,31.515477182083202,52.148723006211895,-94.02340224517914,-75.92962227131774,80.45439718082213,102.4892316134188,45.624049797199426,55.0,55.0,0.8216421755673328,30.35840317042334,100.13511700063458,35.0,0.8391035397585299,54.93794060191056,2.8154835925796915,29.80311917984855,99.09167066952512,35.0,5.501930374808879
1,8,0.1421881546744983,0.5605998683829057,0.20436603880704407,-10.871539041607758,-81.96859193449734,-86.10664615530007,81.75480520468967,106.10914813999625,31.26447864247912,51.99651366993568,-93.9451800506559,-75.90595473676682,80.35881987844814,102.65501470016197,45.52881037992333,55.0,55.0,0.8045228401931449,30.70597524307766,100.45075970540671,35.0,1.0518949961516488,54.94483609058717,2.8522576599590432,30.218176916494386,99.51310964312495,35.0,5.402138439394952
1,9,0.1599616740088106,0.4953320580643208,0.19107830072757057,-11.174417680770741,-81.98993765796757,-86.09604295703231,81.78461435360987,106.02996718368013,31.101248017727762,51.89417918717078,-93.89327471931816,-75.8849637115147,80.29031599941518,102.77458050215004,45.49429124256886,55.0,55.0,0.78396409289032,30.842112309508934,100.51292915373078,35.0,1.176236901742137,54.95035248152844,2.886530747442772,30.419434662346116,99.73161081323663,35.0,5.339988949866988
1,10,0.17773519334312285,0.35635259577779216,0.1744192462480174,-10.825853805698314,-81.91324815712676,-86.08089418637132,81.51806176978326,106.45471435335222,31.084302692823464,51.84714010766715,-93.68732821105901,-75.86328949905538,80.06328707880165,103.1891276072052,45.38560854572724,55.0,55.0,0.7625083162864086,30.982455884682476,100.63786671088901,35.0,1.2172812538373423,54.95367789351496,2.9198578815767435,30.567114349141594,99.90345389990162,35.0,5.297355920302973
1,11,0.19550871267743514,0.20122647667905083,0.17138158434083134,-11.063094850220265,-82.01579259465889,-85.97556263827347,81.43623461664306,106.59750863294079,30.509082963436057,51.570618009268316,-93.53748959131309,-75.83123105031386,79.88552612302566,103.51964813465162,45.18007496490174,55.0,55.0,0.7212014937280385,31.588504801975805,101.203513676377,35.0,1.3176533391438623,54.98698428274106,2.967073680154208,31.143200618244915,100.43736264910639,35.0,5.547990587077825
1,12,0.21328223201174742,4.304502225654665,0.1554082720586327,-11.772721367270078,-82.3690745880121,-85.91627356029046,81.93832004729693,105.7057365900914,29.957954531424523,51.29215097808856,-93.36016797065227,-75.7932014564897,79.67491951274422,103.88152763637369,44.94154833930879,55.0,55.0,0.6953179603289349,32.09681127362489,101.76765362856791,35.0,1.4524529065852063,54.97308044124306,3.017231458790702,31.45122831328357,100.82678641900911,35.0,5.385640047585636
1,13,0.2310557513460597,4.024252370024491,0.13717255490853897,-12.0397469198078,-82.60324018967987,-85.84914362598904,82.26228859295912,105.07854861648649,29.724604870754753,51.13910618710468,-93.11485152712872,-75.7525288468583,79.41031505218781,104.32598136505527,44.810337742059396,55.0,55.0,0.6720044824377829,32.42955860509066,102.11873138046168,35.0,1.6372208005667124,54.9623026270712,3.065148160286329,31.605955706911107,101.03693750707492,35.0,5.233796438956467
1,14,0.248829270680372,7.908697489290693,0.11051272160970775,-12.084543218553517,-82.6966626963985,-85.79752884774167,82.31990854769104,104.95650767541325,29.550150014259337,51.031137171469865,-93.01510847819056,-75.71170672362676,79.27213408785771,104.51351592239553,44.81973251130713,55.0,55.0,0.6480221277395459,32.78292017875108,102.53919145139989,35.0,1.7909657566472816,54.94385813346143,3.1207053134840588,31.77768412636849,101.2812227031685,35.0,5.1334551525204475
