frame,seconds,score
0,0.0,0.9482628206411997
1,0.017773519334312288,0.9498289624849955
2,0.035547038668624575,0.9503249228000641
3,0.053320558002936856,0.9498637914657593
4,0.07109407733724915,0.9509564191102982
5,0.08886759667156142,0.9514671166737875
6,0.10664111600587371,0.9519830842812856
7,0.124414635340186,0.9516094426314036
8,0.1421881546744983,0.9513009389241537
9,0.1599616740088106,0.9514336933692297
10,0.17773519334312285,0.9522774716218313
11,0.19550871267743514,0.9512362231810888
12,0.21328223201174742,0.9500617484251658
13,0.2310557513460597,0.951054518421491
14,0.248829270680372,0.9500644703706106
15,0.2666027900146843,0.9490510572989782
16,0.2843763093489966,0.9508605748414993
17,0.30214982868330886,0.9506843338410059
18,0.3199233480176212,0.9510937382777532
19,0.33769686735193344,0.9513142506281534
20,0.3554703866862457,0.9508517036835352
21,0.373243906020558,0.9512634774049123
22,0.3910174253548703,0.9514087835947672
23,0.4087909446891826,0.9520948280890783
24,0.42656446402349485,0.9517136116822561
25,0.44433798335780716,0.9520870198806127
26,0.4621115026921194,0.9523815413316091
27,0.47988502202643174,0.9534214486678442
28,0.497658541360744,0.9527452737092972
29,0.5154320606950563,0.9536912888288498
30,0.5332055800293686,0.9532844523588816
31,0.5509790993636808,0.9537668277819952
32,0.5687526186979932,0.9534594565629959
33,0.5865261380323055,0.9531082361936569
34,0.6042996573666177,0.9530334323644638
35,0.62207317670093,0.9528358578681946
36,0.6398466960352424,0.9526082873344421
37,0.6576202153695546,0.9521078566710154
38,0.6753937347038669,0.9530249039332072
39,0.6931672540381791,0.9526333212852478
40,0.7109407733724914,0.9526955087979635
41,0.7287142927068038,0.9529404242833456
42,0.746487812041116,0.9525191287199656
43,0.7642613313754283,0.9526563137769699
44,0.7820348507097405,0.9522577573855718
45,0.7998083700440529,0.952984501918157
46,0.8175818893783652,0.9528242349624634
47,0.8353554087126774,0.9529556731383005
48,0.8531289280469897,0.9535902092854182
49,0.8709024473813021,0.9535468022028605
50,0.8886759667156143,0.9537134518225988
51,0.9064494860499266,0.9539178262154261
52,0.9242230053842388,0.9537688791751862
53,0.9419965247185512,0.953843797246615
54,0.9597700440528635,0.953510507941246
55,0.9775435633871757,0.9539989531040192
56,0.995317082721488,0.9537747651338577
57,1.0130906020558004,0.9535651206970215
58,1.0308641213901126,0.9542540808518728
59,1.048637640724425,0.9550771663586298
60,1.0664111600587372,0.9554045349359512
61,1.0841846793930494,0.9557019025087357
62,1.1019581987273617,0.9562007238467535
63,1.119731718061674,0.9563600917657217
64,1.1375052373959864,0.9563613285621008
65,1.1552787567302987,0.95582015812397
66,1.173052276064611,0.955623189608256
67,1.1908257953989232,0.9558371007442474
68,1.2085993147332355,0.9565269301335017
69,1.2263728340675477,0.9569393793741862
70,1.24414635340186,0.956691508491834
71,1.2619198727361722,0.9564518531163534
72,1.2796933920704847,0.9565080950657526
73,1.297466911404797,0.9560393244028091
74,1.3152404307391092,0.9557627985874811
75,1.3330139500734215,0.9555783768494924
76,1.3507874694077338,0.9559512635072073
77,1.368560988742046,0.9563025136788686
78,1.3863345080763583,0.9558435380458832
79,1.4041080274106705,0.9563910166422526
80,1.4218815467449828,0.9561937550703684
81,1.4396550660792953,0.9557898094256719
82,1.4574285854136075,0.9567834337552389
83,1.4752021047479198,0.9567131151755651
84,1.492975624082232,0.9563026229540507
85,1.5107491434165443,0.9558444966872534
86,1.5285226627508566,0.955464964111646
87,1.5462961820851688,0.9555004636446635
88,1.564069701419481,0.9553225884834925
89,1.5818432207537936,0.9553484718004862
90,1.5996167400881058,0.9552793204784393
91,1.617390259422418,0.9555560797452927
92,1.6351637787567304,0.9554148068030676
93,1.6529372980910426,0.9561201979716619
94,1.6707108174253549,0.9564806520938873
95,1.6884843367596671,0.9567678570747375
96,1.7062578560939794,0.9571748127539953
97,1.7240313754282917,0.9572267134984335
98,1.7418048947626041,0.9576185395320257
99,1.7595784140969164,0.9583533157904943
100,1.7773519334312287,0.9589499880870184
101,1.795125452765541,0.959237277507782
102,1.8128989720998532,0.9595558593670527
103,1.8306724914341654,0.9600681016842524
104,1.8484460107684777,0.9599114805459976
105,1.86621953010279,0.9603466093540192
106,1.8839930494371024,0.9605794002612432
107,1.9017665687714147,0.9613417486349741
108,1.919540088105727,0.9613992323478063
109,1.9373136074400392,0.9615710626045862
110,1.9550871267743515,0.9619575639565786
111,1.9728606461086637,0.9626368333896002
112,1.990634165442976,0.9627877225478491
113,2.0084076847772883,0.9629666209220886
114,2.0261812041116007,0.9635064800580343
115,2.043954723445913,0.964283804098765
116,2.0617282427802253,0.9647467384735743
117,2.0795017621145373,0.9647429784138998
118,2.09727528144885,0.9648924271265665
119,2.1150488007831623,0.9650822083155314
120,2.1328223201174743,0.9644153366486231
121,2.150595839451787,0.9641186048587164
122,2.168369358786099,0.9640561391909918
123,2.1861428781204113,0.9648493627707163
124,2.2039163974547233,0.9657533168792725
125,2.221689916789036,0.966292217373848
126,2.239463436123348,0.9661861658096313
127,2.2572369554576603,0.9662131716807684
128,2.275010474791973,0.9664648224910101
129,2.292783994126285,0.9671121835708618
130,2.3105575134605973,0.9674851348002752
131,2.3283310327949094,0.9680031190315882
132,2.346104552129222,0.9686736861864725
133,2.363878071463534,0.9688827643791834
134,2.3816515907978464,0.9682691941658655
135,2.3994251101321584,0.9675360023975372
136,2.417198629466471,0.9668199767669042
137,2.4349721488007834,0.9663035819927851
138,2.4527456681350954,0.965497151017189
139,2.470519187469408,0.9622951298952103
140,2.48829270680372,0.958840991059939
141,2.5060662261380324,0.9549596359332403
142,2.5238397454723445,0.9509868870178858
143,2.541613264806657,0.9478035817543665
144,2.5593867841409694,0.9461599141359329
145,2.5771603034752815,0.9422607868909836
146,2.594933822809594,0.9383672078450521
147,2.612707342143906,0.9361167401075363
148,2.6304808614782185,0.9375692258278528
149,2.6482543808125305,0.9396767914295197
150,2.666027900146843,0.9425663352012634
151,2.683801419481155,0.9429800609747568
152,2.7015749388154675,0.9450467129548391
153,2.71934845814978,0.9472048878669739
154,2.737121977484092,0.9498504996299744
155,2.7548954968184045,0.9523070305585861
156,2.7726690161527165,0.9552784115076065
157,2.790442535487029,0.9578548570473989
158,2.808216054821341,0.9599783470233282
159,2.8259895741556535,0.9610625356435776
160,2.8437630934899656,0.9603631893793741
161,2.861536612824278,0.9600364863872528
162,2.8793101321585906,0.9611479640007019
